codigo,concello_carpeta,estado,subcarpetas,pdfs,archivos_total,accion,ruta
15001,15001_Abegondo,CON_DOCUMENTACION,1,155,157,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15001_Abegondo
15002,15002_Ames,CON_DOCUMENTACION,3,215,217,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15002_Ames
15003,15003_Aranga,CON_DOCUMENTACION,3,67,69,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15003_Aranga
15004,15004_Ares,CON_DOCUMENTACION,8,135,137,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15004_Ares
15005,15005_Arteixo,CON_DOCUMENTACION,10,153,155,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15005_Arteixo
15006,15006_Arzúa,CON_DOCUMENTACION,3,259,261,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15006_Arzúa
15007,15007_Baña_ A,CON_DOCUMENTACION,3,77,79,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15007_Baña_ A
15008,15008_Bergondo,CON_DOCUMENTACION,9,65,67,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15008_Bergondo
15009,15009_Betanzos,CON_DOCUMENTACION,7,25,27,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15009_Betanzos
15010,15010_Boimorto,CON_DOCUMENTACION,1,51,53,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15010_Boimorto
15011,15011_Boiro,CON_DOCUMENTACION,4,73,75,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15011_Boiro
15012,15012_Boqueixón,CON_DOCUMENTACION,2,27,29,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15012_Boqueixón
15013,15013_Brión,CON_DOCUMENTACION,2,56,58,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15013_Brión
15014,15014_Cabana de Bergantiños,CON_DOCUMENTACION,1,48,50,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15014_Cabana de Bergantiños
15015,15015_Cabanas,CON_DOCUMENTACION,2,15,17,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15015_Cabanas
15016,15016_Camariñas,CON_DOCUMENTACION,2,32,34,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15016_Camariñas
15017,15017_Cambre,CON_DOCUMENTACION,10,174,176,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15017_Cambre
15018,15018_Capela_ A,CON_DOCUMENTACION,2,71,73,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15018_Capela_ A
15019,15019_Carballo,CON_DOCUMENTACION,10,509,511,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15019_Carballo
15020,15020_Carnota,CON_DOCUMENTACION,5,22,24,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15020_Carnota
15021,15021_Carral,CON_DOCUMENTACION,3,14,16,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15021_Carral
15022,15022_Cedeira,CON_DOCUMENTACION,5,55,57,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15022_Cedeira
15023,15023_Cee,CON_DOCUMENTACION,9,27,29,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15023_Cee
15024,15024_Cerceda,CON_DOCUMENTACION,10,120,122,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15024_Cerceda
15025,15025_Cerdido,CON_DOCUMENTACION,2,79,81,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15025_Cerdido
15026,15026_concello_15026,CUBIERTO_POR_15902_OZA_CESURAS,0,0,1,Ignorar como pendiente. Usar 15902_Oza-Cesuras.,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15026_concello_15026
15027,15027_Coirós,CON_DOCUMENTACION,5,68,70,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15027_Coirós
15028,15028_Corcubión,CON_DOCUMENTACION,3,19,21,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15028_Corcubión
15029,15029_Coristanco,CON_DOCUMENTACION,4,158,160,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15029_Coristanco
15030,15030_Coruña_ A,CON_DOCUMENTACION,10,269,271,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15030_Coruña_ A
15031,15031_Culleredo,CON_DOCUMENTACION,10,48,50,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15031_Culleredo
15032,15032_Curtis,CON_DOCUMENTACION,9,294,296,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15032_Curtis
15033,15033_Dodro,CON_DOCUMENTACION,5,211,213,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15033_Dodro
15034,15034_Dumbría,PENDIENTE_DSNR_O_REVISION_FINAL,0,0,1,Revisar/descargar delimitaciones de solo de núcleo rural si no están ya descargadas.,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15034_Dumbría
15035,15035_Fene,CON_DOCUMENTACION,3,186,188,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15035_Fene
15036,15036_Ferrol,CON_DOCUMENTACION,7,67,69,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15036_Ferrol
15037,15037_Fisterra,CON_DOCUMENTACION,3,609,611,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15037_Fisterra
15038,15038_Frades,CON_DOCUMENTACION,1,41,43,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15038_Frades
15039,15039_Irixoa,CON_DOCUMENTACION,5,36,38,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15039_Irixoa
15040,15040_Laxe,CON_DOCUMENTACION,2,100,102,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15040_Laxe
15041,15041_Laracha_ A,CON_DOCUMENTACION,8,124,126,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15041_Laracha_ A
15042,15042_Lousame,CON_DOCUMENTACION,2,127,129,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15042_Lousame
15043,15043_Malpica de Bergantiños,CON_DOCUMENTACION,4,26,28,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15043_Malpica de Bergantiños
15044,15044_Mañón,CON_DOCUMENTACION,4,37,39,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15044_Mañón
15045,15045_Mazaricos,CON_DOCUMENTACION,3,27,29,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15045_Mazaricos
15046,15046_Melide,CON_DOCUMENTACION,7,52,54,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15046_Melide
15047,15047_Mesía,CON_DOCUMENTACION,2,80,82,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15047_Mesía
15048,15048_Miño,CON_DOCUMENTACION,4,76,78,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15048_Miño
15049,15049_Moeche,CON_DOCUMENTACION,2,25,27,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15049_Moeche
15050,15050_Monfero,SIN_PLANEAMIENTO_MUNICIPAL_DETECTADO_EN_SIOTUGA,0,0,1,Conservar instrumentos supramunicipales/sectoriales. Revisado manualmente.,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15050_Monfero
15051,15051_Mugardos,CON_DOCUMENTACION,10,62,64,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15051_Mugardos
15052,15052_Muxía,CON_DOCUMENTACION,3,9,11,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15052_Muxía
15053,15053_Muros,CON_DOCUMENTACION,1,56,58,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15053_Muros
15054,15054_Narón,CON_DOCUMENTACION,7,100,102,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15054_Narón
15055,15055_Neda,CON_DOCUMENTACION,1,8,10,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15055_Neda
15056,15056_Negreira,CON_DOCUMENTACION,4,26,28,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15056_Negreira
15057,15057_Noia,CON_DOCUMENTACION,10,39,41,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15057_Noia
15058,15058_Oleiros,CON_DOCUMENTACION,10,165,167,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15058_Oleiros
15059,15059_Ordes,CON_DOCUMENTACION,5,215,217,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15059_Ordes
15060,15060_Oroso,CON_DOCUMENTACION,7,176,178,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15060_Oroso
15061,15061_Ortigueira,CON_DOCUMENTACION,3,24,26,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15061_Ortigueira
15062,15062_Outes,CON_DOCUMENTACION,2,139,141,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15062_Outes
15063,15063_concello_15063,CUBIERTO_POR_15902_OZA_CESURAS,0,0,1,Ignorar como pendiente. Usar 15902_Oza-Cesuras.,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15063_concello_15063
15064,15064_Paderne,CON_DOCUMENTACION,1,55,57,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15064_Paderne
15065,15065_Padrón,CON_DOCUMENTACION,6,34,36,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15065_Padrón
15066,15066_Pino_ O,CON_DOCUMENTACION,3,34,36,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15066_Pino_ O
15067,15067_Pobra do Caramiñal_ A,CON_DOCUMENTACION,3,130,132,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15067_Pobra do Caramiñal_ A
15068,15068_Ponteceso,CON_DOCUMENTACION,3,97,99,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15068_Ponteceso
15069,15069_Pontedeume,CON_DOCUMENTACION,10,44,46,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15069_Pontedeume
15070,15070_Pontes de García Rodríguez_ As,CON_DOCUMENTACION,10,187,189,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15070_Pontes de García Rodríguez_ As
15071,15071_Porto do Son,CON_DOCUMENTACION,1,53,55,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15071_Porto do Son
15072,15072_Rianxo,CON_DOCUMENTACION,10,33,35,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15072_Rianxo
15073,15073_Ribeira,CON_DOCUMENTACION,4,110,112,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15073_Ribeira
15074,15074_Rois,CON_DOCUMENTACION,1,25,27,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15074_Rois
15075,15075_Sada,CON_DOCUMENTACION,6,59,61,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15075_Sada
15076,15076_San Sadurniño,CON_DOCUMENTACION,3,12,14,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15076_San Sadurniño
15077,15077_Santa Comba,CON_DOCUMENTACION,4,32,34,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15077_Santa Comba
15078,15078_Santiago de Compostela,CON_DOCUMENTACION,10,389,391,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15078_Santiago de Compostela
15079,15079_Santiso,CON_DOCUMENTACION,2,35,37,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15079_Santiso
15080,15080_Sobrado,CON_DOCUMENTACION,2,235,237,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15080_Sobrado
15081,15081_Somozas_ As,CON_DOCUMENTACION,1,195,197,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15081_Somozas_ As
15082,15082_Teo,CON_DOCUMENTACION,2,263,265,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15082_Teo
15083,15083_Toques,CON_DOCUMENTACION,2,181,183,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15083_Toques
15084,15084_Tordoia,CON_DOCUMENTACION,1,247,249,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15084_Tordoia
15085,15085_Touro,CON_DOCUMENTACION,1,80,82,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15085_Touro
15086,15086_Trazo,CON_DOCUMENTACION,1,44,46,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15086_Trazo
15087,15087_Valdoviño,CON_DOCUMENTACION,10,28,30,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15087_Valdoviño
15088,15088_Val do Dubra,CON_DOCUMENTACION,6,58,60,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15088_Val do Dubra
15089,15089_Vedra,CON_DOCUMENTACION,7,181,183,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15089_Vedra
15090,15090_Vilasantar,CON_DOCUMENTACION,2,7,9,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15090_Vilasantar
15091,15091_Vilarmaior,CON_DOCUMENTACION,1,36,38,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15091_Vilarmaior
15092,15092_Vimianzo,CON_DOCUMENTACION,6,80,82,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15092_Vimianzo
15093,15093_Zas,CON_DOCUMENTACION,1,104,106,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15093_Zas
15901,15901_Cariño,CON_DOCUMENTACION,3,34,36,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15901_Cariño
15902,15902_Oza-Cesuras,CON_DOCUMENTACION,3,77,79,OK,C:\Users\Lenovo\Desktop\SIOTUGA_RUN_BUENO\SIOTUGA_CORUNA_AB_MASIVO\15902_Oza-Cesuras
